"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
1,57,1,21,ADMM_Joint
1,59,1,21,ADMM_Joint
1,61,1,21,ADMM_Joint
1,79,3,21,ADMM_Joint
1,105,1,21,ADMM_Joint
1,113,1,21,ADMM_Joint
1,120,1,21,ADMM_Joint
1,162,1,21,ADMM_Joint
2,48,1,21,ADMM_Joint
2,55,5,21,ADMM_Joint
2,90,2,21,ADMM_Joint
2,98,1,21,ADMM_Joint
2,104,1,21,ADMM_Joint
2,106,1,21,ADMM_Joint
2,124,4,21,ADMM_Joint
2,129,1,21,ADMM_Joint
2,163,2,21,ADMM_Joint
2,170,5,21,ADMM_Joint
3,17,5,21,ADMM_Joint
3,31,1,21,ADMM_Joint
3,88,2,21,ADMM_Joint
3,91,1,21,ADMM_Joint
3,98,2,21,ADMM_Joint
3,103,2,21,ADMM_Joint
3,111,3,21,ADMM_Joint
3,140,3,21,ADMM_Joint
3,144,1,21,ADMM_Joint
3,169,1,21,ADMM_Joint
4,27,3,21,ADMM_Joint
4,43,9,21,ADMM_Joint
4,57,1,21,ADMM_Joint
4,75,1,21,ADMM_Joint
4,114,5,21,ADMM_Joint
4,120,1,21,ADMM_Joint
5,21,1,21,ADMM_Joint
5,64,10,21,ADMM_Joint
5,139,8,21,ADMM_Joint
5,172,1,21,ADMM_Joint
6,88,10,21,ADMM_Joint
6,168,10,21,ADMM_Joint
7,98,10,21,ADMM_Joint
7,124,10,21,ADMM_Joint
8,98,10,21,ADMM_Joint
8,141,10,21,ADMM_Joint
9,40,10,21,ADMM_Joint
9,102,10,21,ADMM_Joint
10,7,10,21,ADMM_Joint
10,16,10,21,ADMM_Joint
11,21,10,21,ADMM_Joint
11,76,10,21,ADMM_Joint
12,11,10,21,ADMM_Joint
12,144,10,21,ADMM_Joint
13,55,10,21,ADMM_Joint
13,87,10,21,ADMM_Joint
14,66,10,21,ADMM_Joint
14,150,10,21,ADMM_Joint
15,52,10,21,ADMM_Joint
15,61,10,21,ADMM_Joint
16,6,10,21,ADMM_Joint
16,147,10,21,ADMM_Joint
17,160,10,21,ADMM_Joint
17,188,10,21,ADMM_Joint
18,123,10,21,ADMM_Joint
18,186,10,21,ADMM_Joint
19,80,10,21,ADMM_Joint
19,93,10,21,ADMM_Joint
20,100,10,21,ADMM_Joint
20,192,10,21,ADMM_Joint
21,133,10,21,ADMM_Joint
21,151,10,21,ADMM_Joint
22,1,1,21,ADMM_Joint
22,32,10,21,ADMM_Joint
22,120,9,21,ADMM_Joint
23,64,1,21,ADMM_Joint
23,68,9,21,ADMM_Joint
23,79,9,21,ADMM_Joint
23,80,1,21,ADMM_Joint
24,69,8,21,ADMM_Joint
24,71,1,21,ADMM_Joint
24,89,8,21,ADMM_Joint
24,166,1,21,ADMM_Joint
24,178,1,21,ADMM_Joint
24,180,1,21,ADMM_Joint
25,11,8,21,ADMM_Joint
25,41,1,21,ADMM_Joint
25,45,1,21,ADMM_Joint
25,81,1,21,ADMM_Joint
25,129,1,21,ADMM_Joint
25,135,8,21,ADMM_Joint
26,2,1,21,ADMM_Joint
26,14,1,21,ADMM_Joint
26,54,1,21,ADMM_Joint
26,55,5,21,ADMM_Joint
26,65,1,21,ADMM_Joint
26,68,1,21,ADMM_Joint
26,85,2,21,ADMM_Joint
26,86,3,21,ADMM_Joint
26,124,2,21,ADMM_Joint
26,135,2,21,ADMM_Joint
26,151,1,21,ADMM_Joint
27,15,2,21,ADMM_Joint
27,22,3,21,ADMM_Joint
27,24,2,21,ADMM_Joint
27,25,4,21,ADMM_Joint
27,31,1,21,ADMM_Joint
27,33,1,21,ADMM_Joint
27,92,1,21,ADMM_Joint
27,94,1,21,ADMM_Joint
27,109,2,21,ADMM_Joint
27,112,1,21,ADMM_Joint
27,141,1,21,ADMM_Joint
27,144,3,21,ADMM_Joint
27,200,1,21,ADMM_Joint
28,0,7,21,ADMM_Joint
28,1,1,21,ADMM_Joint
28,2,2,21,ADMM_Joint
28,3,3,21,ADMM_Joint
28,4,3,21,ADMM_Joint
28,5,3,21,ADMM_Joint
28,6,4,21,ADMM_Joint
28,7,3,21,ADMM_Joint
28,8,2,21,ADMM_Joint
28,9,2,21,ADMM_Joint
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 22).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,9,5,22,iterative_full_theseus_training|iterative_full_theseus
0,61,10,22,iterative_full_theseus_training|iterative_full_theseus
0,63,5,22,iterative_full_theseus_training|iterative_full_theseus
0,76,8,22,iterative_full_theseus_training|iterative_full_theseus
0,105,1,22,iterative_full_theseus_training|iterative_full_theseus
1,0,2,22,iterative_full_theseus_training|iterative_full_theseus
1,59,4,22,iterative_full_theseus_training|iterative_full_theseus
1,61,1,22,iterative_full_theseus_training|iterative_full_theseus
1,80,3,22,iterative_full_theseus_training|iterative_full_theseus
1,83,5,22,iterative_full_theseus_training|iterative_full_theseus
1,92,4,22,iterative_full_theseus_training|iterative_full_theseus
1,96,7,22,iterative_full_theseus_training|iterative_full_theseus
2,4,1,22,iterative_full_theseus_training|iterative_full_theseus
2,8,1,22,iterative_full_theseus_training|iterative_full_theseus
2,15,1,22,iterative_full_theseus_training|iterative_full_theseus
2,51,5,22,iterative_full_theseus_training|iterative_full_theseus
2,59,1,22,iterative_full_theseus_training|iterative_full_theseus
2,74,2,22,iterative_full_theseus_training|iterative_full_theseus
2,75,1,22,iterative_full_theseus_training|iterative_full_theseus
2,82,1,22,iterative_full_theseus_training|iterative_full_theseus
2,84,4,22,iterative_full_theseus_training|iterative_full_theseus
2,89,3,22,iterative_full_theseus_training|iterative_full_theseus
3,1,1,22,iterative_full_theseus_training|iterative_full_theseus
3,21,2,22,iterative_full_theseus_training|iterative_full_theseus
3,24,1,22,iterative_full_theseus_training|iterative_full_theseus
3,29,5,22,iterative_full_theseus_training|iterative_full_theseus
3,31,1,22,iterative_full_theseus_training|iterative_full_theseus
3,38,1,22,iterative_full_theseus_training|iterative_full_theseus
3,46,6,22,iterative_full_theseus_training|iterative_full_theseus
3,58,1,22,iterative_full_theseus_training|iterative_full_theseus
3,60,2,22,iterative_full_theseus_training|iterative_full_theseus
3,75,1,22,iterative_full_theseus_training|iterative_full_theseus
4,41,1,22,iterative_full_theseus_training|iterative_full_theseus
4,47,1,22,iterative_full_theseus_training|iterative_full_theseus
4,53,4,22,iterative_full_theseus_training|iterative_full_theseus
4,66,1,22,iterative_full_theseus_training|iterative_full_theseus
4,86,5,22,iterative_full_theseus_training|iterative_full_theseus
4,93,1,22,iterative_full_theseus_training|iterative_full_theseus
4,96,7,22,iterative_full_theseus_training|iterative_full_theseus
5,47,10,22,iterative_full_theseus_training|iterative_full_theseus
5,56,6,22,iterative_full_theseus_training|iterative_full_theseus
5,63,3,22,iterative_full_theseus_training|iterative_full_theseus
5,81,1,22,iterative_full_theseus_training|iterative_full_theseus
6,3,1,22,iterative_full_theseus_training|iterative_full_theseus
6,6,10,22,iterative_full_theseus_training|iterative_full_theseus
6,79,9,22,iterative_full_theseus_training|iterative_full_theseus
7,10,1,22,iterative_full_theseus_training|iterative_full_theseus
7,39,10,22,iterative_full_theseus_training|iterative_full_theseus
7,88,9,22,iterative_full_theseus_training|iterative_full_theseus
8,22,10,22,iterative_full_theseus_training|iterative_full_theseus
8,79,10,22,iterative_full_theseus_training|iterative_full_theseus
9,13,10,22,iterative_full_theseus_training|iterative_full_theseus
9,96,10,22,iterative_full_theseus_training|iterative_full_theseus
10,57,10,22,iterative_full_theseus_training|iterative_full_theseus
10,69,10,22,iterative_full_theseus_training|iterative_full_theseus
11,96,10,22,iterative_full_theseus_training|iterative_full_theseus
11,104,10,22,iterative_full_theseus_training|iterative_full_theseus
12,29,10,22,iterative_full_theseus_training|iterative_full_theseus
12,43,10,22,iterative_full_theseus_training|iterative_full_theseus
13,22,10,22,iterative_full_theseus_training|iterative_full_theseus
13,49,10,22,iterative_full_theseus_training|iterative_full_theseus
14,31,10,22,iterative_full_theseus_training|iterative_full_theseus
14,44,10,22,iterative_full_theseus_training|iterative_full_theseus
15,41,10,22,iterative_full_theseus_training|iterative_full_theseus
15,43,10,22,iterative_full_theseus_training|iterative_full_theseus
16,35,10,22,iterative_full_theseus_training|iterative_full_theseus
16,43,10,22,iterative_full_theseus_training|iterative_full_theseus
17,11,10,22,iterative_full_theseus_training|iterative_full_theseus
17,95,10,22,iterative_full_theseus_training|iterative_full_theseus
18,27,10,22,iterative_full_theseus_training|iterative_full_theseus
18,39,10,22,iterative_full_theseus_training|iterative_full_theseus
19,19,10,22,iterative_full_theseus_training|iterative_full_theseus
19,95,10,22,iterative_full_theseus_training|iterative_full_theseus
20,47,10,22,iterative_full_theseus_training|iterative_full_theseus
20,85,10,22,iterative_full_theseus_training|iterative_full_theseus
21,13,10,22,iterative_full_theseus_training|iterative_full_theseus
21,15,10,22,iterative_full_theseus_training|iterative_full_theseus
22,4,10,22,iterative_full_theseus_training|iterative_full_theseus
22,16,10,22,iterative_full_theseus_training|iterative_full_theseus
23,24,4,22,iterative_full_theseus_training|iterative_full_theseus
23,43,7,22,iterative_full_theseus_training|iterative_full_theseus
23,45,3,22,iterative_full_theseus_training|iterative_full_theseus
23,54,5,22,iterative_full_theseus_training|iterative_full_theseus
23,91,1,22,iterative_full_theseus_training|iterative_full_theseus
24,1,3,22,iterative_full_theseus_training|iterative_full_theseus
24,53,1,22,iterative_full_theseus_training|iterative_full_theseus
24,57,5,22,iterative_full_theseus_training|iterative_full_theseus
24,62,1,22,iterative_full_theseus_training|iterative_full_theseus
24,77,5,22,iterative_full_theseus_training|iterative_full_theseus
24,103,5,22,iterative_full_theseus_training|iterative_full_theseus
25,19,2,22,iterative_full_theseus_training|iterative_full_theseus
25,22,3,22,iterative_full_theseus_training|iterative_full_theseus
25,34,1,22,iterative_full_theseus_training|iterative_full_theseus
25,45,1,22,iterative_full_theseus_training|iterative_full_theseus
25,66,3,22,iterative_full_theseus_training|iterative_full_theseus
25,76,3,22,iterative_full_theseus_training|iterative_full_theseus
25,92,4,22,iterative_full_theseus_training|iterative_full_theseus
25,108,3,22,iterative_full_theseus_training|iterative_full_theseus
26,12,2,22,iterative_full_theseus_training|iterative_full_theseus
26,28,1,22,iterative_full_theseus_training|iterative_full_theseus
26,47,5,22,iterative_full_theseus_training|iterative_full_theseus
26,48,5,22,iterative_full_theseus_training|iterative_full_theseus
26,78,6,22,iterative_full_theseus_training|iterative_full_theseus
26,90,6,22,iterative_full_theseus_training|iterative_full_theseus
27,4,4,22,iterative_full_theseus_training|iterative_full_theseus
27,10,6,22,iterative_full_theseus_training|iterative_full_theseus
27,19,2,22,iterative_full_theseus_training|iterative_full_theseus
27,37,1,22,iterative_full_theseus_training|iterative_full_theseus
27,45,5,22,iterative_full_theseus_training|iterative_full_theseus
27,66,1,22,iterative_full_theseus_training|iterative_full_theseus
27,82,1,22,iterative_full_theseus_training|iterative_full_theseus
28,0,7,22,iterative_full_theseus_training|iterative_full_theseus
28,1,1,22,iterative_full_theseus_training|iterative_full_theseus
28,2,1,22,iterative_full_theseus_training|iterative_full_theseus
28,3,1,22,iterative_full_theseus_training|iterative_full_theseus
28,4,1,22,iterative_full_theseus_training|iterative_full_theseus
28,5,3,22,iterative_full_theseus_training|iterative_full_theseus
28,6,6,22,iterative_full_theseus_training|iterative_full_theseus
28,7,6,22,iterative_full_theseus_training|iterative_full_theseus
28,9,4,22,iterative_full_theseus_training|iterative_full_theseus
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 24).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,0,8,24,iterative_full_theseus_training|iterative_full_theseus
0,12,1,24,iterative_full_theseus_training|iterative_full_theseus
0,15,2,24,iterative_full_theseus_training|iterative_full_theseus
0,22,7,24,iterative_full_theseus_training|iterative_full_theseus
0,49,8,24,iterative_full_theseus_training|iterative_full_theseus
0,53,1,24,iterative_full_theseus_training|iterative_full_theseus
0,83,3,24,iterative_full_theseus_training|iterative_full_theseus
1,5,1,24,iterative_full_theseus_training|iterative_full_theseus
1,16,7,24,iterative_full_theseus_training|iterative_full_theseus
1,35,1,24,iterative_full_theseus_training|iterative_full_theseus
1,44,6,24,iterative_full_theseus_training|iterative_full_theseus
1,46,1,24,iterative_full_theseus_training|iterative_full_theseus
1,60,10,24,iterative_full_theseus_training|iterative_full_theseus
1,77,1,24,iterative_full_theseus_training|iterative_full_theseus
2,1,2,24,iterative_full_theseus_training|iterative_full_theseus
2,16,1,24,iterative_full_theseus_training|iterative_full_theseus
2,33,2,24,iterative_full_theseus_training|iterative_full_theseus
2,45,6,24,iterative_full_theseus_training|iterative_full_theseus
2,62,2,24,iterative_full_theseus_training|iterative_full_theseus
2,88,7,24,iterative_full_theseus_training|iterative_full_theseus
3,2,3,24,iterative_full_theseus_training|iterative_full_theseus
3,24,5,24,iterative_full_theseus_training|iterative_full_theseus
3,52,1,24,iterative_full_theseus_training|iterative_full_theseus
3,86,1,24,iterative_full_theseus_training|iterative_full_theseus
3,92,6,24,iterative_full_theseus_training|iterative_full_theseus
3,94,4,24,iterative_full_theseus_training|iterative_full_theseus
4,8,2,24,iterative_full_theseus_training|iterative_full_theseus
4,29,7,24,iterative_full_theseus_training|iterative_full_theseus
4,35,1,24,iterative_full_theseus_training|iterative_full_theseus
4,47,4,24,iterative_full_theseus_training|iterative_full_theseus
4,65,6,24,iterative_full_theseus_training|iterative_full_theseus
5,13,5,24,iterative_full_theseus_training|iterative_full_theseus
5,33,5,24,iterative_full_theseus_training|iterative_full_theseus
5,40,4,24,iterative_full_theseus_training|iterative_full_theseus
5,52,3,24,iterative_full_theseus_training|iterative_full_theseus
5,53,3,24,iterative_full_theseus_training|iterative_full_theseus
6,7,3,24,iterative_full_theseus_training|iterative_full_theseus
6,22,1,24,iterative_full_theseus_training|iterative_full_theseus
6,31,4,24,iterative_full_theseus_training|iterative_full_theseus
6,47,1,24,iterative_full_theseus_training|iterative_full_theseus
6,70,5,24,iterative_full_theseus_training|iterative_full_theseus
6,96,6,24,iterative_full_theseus_training|iterative_full_theseus
7,14,6,24,iterative_full_theseus_training|iterative_full_theseus
7,24,5,24,iterative_full_theseus_training|iterative_full_theseus
7,69,5,24,iterative_full_theseus_training|iterative_full_theseus
7,72,3,24,iterative_full_theseus_training|iterative_full_theseus
7,93,1,24,iterative_full_theseus_training|iterative_full_theseus
8,36,6,24,iterative_full_theseus_training|iterative_full_theseus
8,58,3,24,iterative_full_theseus_training|iterative_full_theseus
8,60,2,24,iterative_full_theseus_training|iterative_full_theseus
8,77,9,24,iterative_full_theseus_training|iterative_full_theseus
9,18,4,24,iterative_full_theseus_training|iterative_full_theseus
9,22,7,24,iterative_full_theseus_training|iterative_full_theseus
9,36,9,24,iterative_full_theseus_training|iterative_full_theseus
10,6,4,24,iterative_full_theseus_training|iterative_full_theseus
10,19,1,24,iterative_full_theseus_training|iterative_full_theseus
10,65,1,24,iterative_full_theseus_training|iterative_full_theseus
10,96,4,24,iterative_full_theseus_training|iterative_full_theseus
10,98,10,24,iterative_full_theseus_training|iterative_full_theseus
11,28,1,24,iterative_full_theseus_training|iterative_full_theseus
11,29,3,24,iterative_full_theseus_training|iterative_full_theseus
11,31,3,24,iterative_full_theseus_training|iterative_full_theseus
11,40,9,24,iterative_full_theseus_training|iterative_full_theseus
11,80,4,24,iterative_full_theseus_training|iterative_full_theseus
12,18,1,24,iterative_full_theseus_training|iterative_full_theseus
12,26,3,24,iterative_full_theseus_training|iterative_full_theseus
12,42,5,24,iterative_full_theseus_training|iterative_full_theseus
12,57,9,24,iterative_full_theseus_training|iterative_full_theseus
12,84,1,24,iterative_full_theseus_training|iterative_full_theseus
12,94,1,24,iterative_full_theseus_training|iterative_full_theseus
13,1,10,24,iterative_full_theseus_training|iterative_full_theseus
13,94,1,24,iterative_full_theseus_training|iterative_full_theseus
13,103,9,24,iterative_full_theseus_training|iterative_full_theseus
14,15,10,24,iterative_full_theseus_training|iterative_full_theseus
14,93,1,24,iterative_full_theseus_training|iterative_full_theseus
14,102,9,24,iterative_full_theseus_training|iterative_full_theseus
15,1,1,24,iterative_full_theseus_training|iterative_full_theseus
15,29,8,24,iterative_full_theseus_training|iterative_full_theseus
15,96,10,24,iterative_full_theseus_training|iterative_full_theseus
15,98,1,24,iterative_full_theseus_training|iterative_full_theseus
16,22,9,24,iterative_full_theseus_training|iterative_full_theseus
16,28,1,24,iterative_full_theseus_training|iterative_full_theseus
16,32,1,24,iterative_full_theseus_training|iterative_full_theseus
16,91,9,24,iterative_full_theseus_training|iterative_full_theseus
17,5,2,24,iterative_full_theseus_training|iterative_full_theseus
17,31,2,24,iterative_full_theseus_training|iterative_full_theseus
17,33,1,24,iterative_full_theseus_training|iterative_full_theseus
17,61,7,24,iterative_full_theseus_training|iterative_full_theseus
17,82,7,24,iterative_full_theseus_training|iterative_full_theseus
17,103,1,24,iterative_full_theseus_training|iterative_full_theseus
18,3,5,24,iterative_full_theseus_training|iterative_full_theseus
18,10,1,24,iterative_full_theseus_training|iterative_full_theseus
18,15,1,24,iterative_full_theseus_training|iterative_full_theseus
18,19,2,24,iterative_full_theseus_training|iterative_full_theseus
18,37,3,24,iterative_full_theseus_training|iterative_full_theseus
18,38,1,24,iterative_full_theseus_training|iterative_full_theseus
18,64,7,24,iterative_full_theseus_training|iterative_full_theseus
19,3,3,24,iterative_full_theseus_training|iterative_full_theseus
19,11,8,24,iterative_full_theseus_training|iterative_full_theseus
19,20,1,24,iterative_full_theseus_training|iterative_full_theseus
19,24,2,24,iterative_full_theseus_training|iterative_full_theseus
19,35,5,24,iterative_full_theseus_training|iterative_full_theseus
19,55,1,24,iterative_full_theseus_training|iterative_full_theseus
20,19,2,24,iterative_full_theseus_training|iterative_full_theseus
20,21,1,24,iterative_full_theseus_training|iterative_full_theseus
20,48,5,24,iterative_full_theseus_training|iterative_full_theseus
20,63,4,24,iterative_full_theseus_training|iterative_full_theseus
20,67,1,24,iterative_full_theseus_training|iterative_full_theseus
20,74,1,24,iterative_full_theseus_training|iterative_full_theseus
20,75,1,24,iterative_full_theseus_training|iterative_full_theseus
20,96,2,24,iterative_full_theseus_training|iterative_full_theseus
20,98,3,24,iterative_full_theseus_training|iterative_full_theseus
21,1,2,24,iterative_full_theseus_training|iterative_full_theseus
21,19,1,24,iterative_full_theseus_training|iterative_full_theseus
21,37,2,24,iterative_full_theseus_training|iterative_full_theseus
21,41,4,24,iterative_full_theseus_training|iterative_full_theseus
21,51,2,24,iterative_full_theseus_training|iterative_full_theseus
21,66,4,24,iterative_full_theseus_training|iterative_full_theseus
21,81,2,24,iterative_full_theseus_training|iterative_full_theseus
21,83,1,24,iterative_full_theseus_training|iterative_full_theseus
21,99,2,24,iterative_full_theseus_training|iterative_full_theseus
22,7,3,24,iterative_full_theseus_training|iterative_full_theseus
22,27,1,24,iterative_full_theseus_training|iterative_full_theseus
22,30,5,24,iterative_full_theseus_training|iterative_full_theseus
22,49,1,24,iterative_full_theseus_training|iterative_full_theseus
22,53,1,24,iterative_full_theseus_training|iterative_full_theseus
22,55,1,24,iterative_full_theseus_training|iterative_full_theseus
22,76,3,24,iterative_full_theseus_training|iterative_full_theseus
22,87,4,24,iterative_full_theseus_training|iterative_full_theseus
22,97,1,24,iterative_full_theseus_training|iterative_full_theseus
23,18,3,24,iterative_full_theseus_training|iterative_full_theseus
23,29,2,24,iterative_full_theseus_training|iterative_full_theseus
23,34,2,24,iterative_full_theseus_training|iterative_full_theseus
23,40,1,24,iterative_full_theseus_training|iterative_full_theseus
23,46,1,24,iterative_full_theseus_training|iterative_full_theseus
23,99,1,24,iterative_full_theseus_training|iterative_full_theseus
23,105,5,24,iterative_full_theseus_training|iterative_full_theseus
23,106,1,24,iterative_full_theseus_training|iterative_full_theseus
23,110,4,24,iterative_full_theseus_training|iterative_full_theseus
24,2,3,24,iterative_full_theseus_training|iterative_full_theseus
24,7,1,24,iterative_full_theseus_training|iterative_full_theseus
24,11,1,24,iterative_full_theseus_training|iterative_full_theseus
24,23,2,24,iterative_full_theseus_training|iterative_full_theseus
24,31,4,24,iterative_full_theseus_training|iterative_full_theseus
24,47,1,24,iterative_full_theseus_training|iterative_full_theseus
24,55,1,24,iterative_full_theseus_training|iterative_full_theseus
24,58,1,24,iterative_full_theseus_training|iterative_full_theseus
24,93,1,24,iterative_full_theseus_training|iterative_full_theseus
24,95,1,24,iterative_full_theseus_training|iterative_full_theseus
24,99,1,24,iterative_full_theseus_training|iterative_full_theseus
24,108,1,24,iterative_full_theseus_training|iterative_full_theseus
24,109,2,24,iterative_full_theseus_training|iterative_full_theseus
25,3,1,24,iterative_full_theseus_training|iterative_full_theseus
25,9,4,24,iterative_full_theseus_training|iterative_full_theseus
25,26,1,24,iterative_full_theseus_training|iterative_full_theseus
25,30,1,24,iterative_full_theseus_training|iterative_full_theseus
25,33,3,24,iterative_full_theseus_training|iterative_full_theseus
25,49,1,24,iterative_full_theseus_training|iterative_full_theseus
25,55,1,24,iterative_full_theseus_training|iterative_full_theseus
25,56,2,24,iterative_full_theseus_training|iterative_full_theseus
25,58,1,24,iterative_full_theseus_training|iterative_full_theseus
25,70,3,24,iterative_full_theseus_training|iterative_full_theseus
25,99,1,24,iterative_full_theseus_training|iterative_full_theseus
25,112,1,24,iterative_full_theseus_training|iterative_full_theseus
26,8,2,24,iterative_full_theseus_training|iterative_full_theseus
26,14,3,24,iterative_full_theseus_training|iterative_full_theseus
26,19,1,24,iterative_full_theseus_training|iterative_full_theseus
26,22,1,24,iterative_full_theseus_training|iterative_full_theseus
26,28,1,24,iterative_full_theseus_training|iterative_full_theseus
26,40,1,24,iterative_full_theseus_training|iterative_full_theseus
26,48,1,24,iterative_full_theseus_training|iterative_full_theseus
26,55,1,24,iterative_full_theseus_training|iterative_full_theseus
26,59,1,24,iterative_full_theseus_training|iterative_full_theseus
26,61,3,24,iterative_full_theseus_training|iterative_full_theseus
26,77,1,24,iterative_full_theseus_training|iterative_full_theseus
26,91,2,24,iterative_full_theseus_training|iterative_full_theseus
26,96,1,24,iterative_full_theseus_training|iterative_full_theseus
26,102,1,24,iterative_full_theseus_training|iterative_full_theseus
27,0,8,24,iterative_full_theseus_training|iterative_full_theseus
27,5,1,24,iterative_full_theseus_training|iterative_full_theseus
27,14,2,24,iterative_full_theseus_training|iterative_full_theseus
27,26,1,24,iterative_full_theseus_training|iterative_full_theseus
27,30,3,24,iterative_full_theseus_training|iterative_full_theseus
27,48,1,24,iterative_full_theseus_training|iterative_full_theseus
27,51,1,24,iterative_full_theseus_training|iterative_full_theseus
27,61,1,24,iterative_full_theseus_training|iterative_full_theseus
27,74,2,24,iterative_full_theseus_training|iterative_full_theseus
27,79,4,24,iterative_full_theseus_training|iterative_full_theseus
27,112,2,24,iterative_full_theseus_training|iterative_full_theseus
27,113,1,24,iterative_full_theseus_training|iterative_full_theseus
28,0,7,24,iterative_full_theseus_training|iterative_full_theseus
28,1,1,24,iterative_full_theseus_training|iterative_full_theseus
28,2,1,24,iterative_full_theseus_training|iterative_full_theseus
28,4,2,24,iterative_full_theseus_training|iterative_full_theseus
28,5,4,24,iterative_full_theseus_training|iterative_full_theseus
28,6,9,24,iterative_full_theseus_training|iterative_full_theseus
28,7,1,24,iterative_full_theseus_training|iterative_full_theseus
28,9,4,24,iterative_full_theseus_training|iterative_full_theseus
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 32).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,9,1,32,BERT_theseus_training|BERT_theseus
0,14,1,32,BERT_theseus_training|BERT_theseus
0,42,5,32,BERT_theseus_training|BERT_theseus
0,44,1,32,BERT_theseus_training|BERT_theseus
0,45,6,32,BERT_theseus_training|BERT_theseus
0,52,1,32,BERT_theseus_training|BERT_theseus
0,78,1,32,BERT_theseus_training|BERT_theseus
0,108,2,32,BERT_theseus_training|BERT_theseus
0,131,1,32,BERT_theseus_training|BERT_theseus
0,132,4,32,BERT_theseus_training|BERT_theseus
0,159,1,32,BERT_theseus_training|BERT_theseus
0,170,1,32,BERT_theseus_training|BERT_theseus
1,41,2,32,BERT_theseus_training|BERT_theseus
1,64,2,32,BERT_theseus_training|BERT_theseus
1,86,1,32,BERT_theseus_training|BERT_theseus
1,90,1,32,BERT_theseus_training|BERT_theseus
1,111,2,32,BERT_theseus_training|BERT_theseus
1,137,2,32,BERT_theseus_training|BERT_theseus
1,154,4,32,BERT_theseus_training|BERT_theseus
1,162,5,32,BERT_theseus_training|BERT_theseus
1,164,4,32,BERT_theseus_training|BERT_theseus
2,5,2,32,BERT_theseus_training|BERT_theseus
2,38,1,32,BERT_theseus_training|BERT_theseus
2,56,7,32,BERT_theseus_training|BERT_theseus
2,59,7,32,BERT_theseus_training|BERT_theseus
2,83,1,32,BERT_theseus_training|BERT_theseus
2,93,1,32,BERT_theseus_training|BERT_theseus
2,97,1,32,BERT_theseus_training|BERT_theseus
2,146,1,32,BERT_theseus_training|BERT_theseus
3,2,1,32,BERT_theseus_training|BERT_theseus
3,23,1,32,BERT_theseus_training|BERT_theseus
3,68,4,32,BERT_theseus_training|BERT_theseus
3,69,5,32,BERT_theseus_training|BERT_theseus
3,89,1,32,BERT_theseus_training|BERT_theseus
3,92,1,32,BERT_theseus_training|BERT_theseus
3,137,1,32,BERT_theseus_training|BERT_theseus
3,139,8,32,BERT_theseus_training|BERT_theseus
3,161,1,32,BERT_theseus_training|BERT_theseus
4,6,8,32,BERT_theseus_training|BERT_theseus
4,50,1,32,BERT_theseus_training|BERT_theseus
4,58,1,32,BERT_theseus_training|BERT_theseus
4,66,2,32,BERT_theseus_training|BERT_theseus
4,142,6,32,BERT_theseus_training|BERT_theseus
4,170,1,32,BERT_theseus_training|BERT_theseus
4,176,1,32,BERT_theseus_training|BERT_theseus
5,21,2,32,BERT_theseus_training|BERT_theseus
5,96,7,32,BERT_theseus_training|BERT_theseus
5,145,10,32,BERT_theseus_training|BERT_theseus
5,147,1,32,BERT_theseus_training|BERT_theseus
6,23,9,32,BERT_theseus_training|BERT_theseus
6,100,1,32,BERT_theseus_training|BERT_theseus
6,160,1,32,BERT_theseus_training|BERT_theseus
6,166,9,32,BERT_theseus_training|BERT_theseus
7,25,9,32,BERT_theseus_training|BERT_theseus
7,47,3,32,BERT_theseus_training|BERT_theseus
7,121,7,32,BERT_theseus_training|BERT_theseus
7,151,1,32,BERT_theseus_training|BERT_theseus
8,9,1,32,BERT_theseus_training|BERT_theseus
8,43,2,32,BERT_theseus_training|BERT_theseus
8,55,1,32,BERT_theseus_training|BERT_theseus
8,131,6,32,BERT_theseus_training|BERT_theseus
8,177,10,32,BERT_theseus_training|BERT_theseus
9,78,10,32,BERT_theseus_training|BERT_theseus
9,85,5,32,BERT_theseus_training|BERT_theseus
9,143,5,32,BERT_theseus_training|BERT_theseus
10,66,10,32,BERT_theseus_training|BERT_theseus
10,134,10,32,BERT_theseus_training|BERT_theseus
11,13,10,32,BERT_theseus_training|BERT_theseus
11,48,10,32,BERT_theseus_training|BERT_theseus
12,66,10,32,BERT_theseus_training|BERT_theseus
12,168,10,32,BERT_theseus_training|BERT_theseus
13,151,10,32,BERT_theseus_training|BERT_theseus
13,159,10,32,BERT_theseus_training|BERT_theseus
14,0,10,32,BERT_theseus_training|BERT_theseus
14,1,10,32,BERT_theseus_training|BERT_theseus
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 33).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,9,2,33,BERT_theseus_training|BERT_theseus
0,24,7,33,BERT_theseus_training|BERT_theseus
0,26,3,33,BERT_theseus_training|BERT_theseus
0,43,2,33,BERT_theseus_training|BERT_theseus
