"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
20,2,9,10,6,TOFD
21,38,6,10,6,TOFD
22,31,5,10,6,TOFD
22,86,5,10,6,TOFD
23,80,2,10,6,TOFD
23,108,2,10,6,TOFD
24,7,3,10,6,TOFD
25,96,1,10,6,TOFD
26,24,1,10,6,TOFD
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 9).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
5,82,1,10,9,thinet
9,48,1,10,9,thinet
20,84,1,10,9,thinet
21,101,1,10,9,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 10).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,96,1,10,10,thinet
6,67,3,10,10,thinet
15,87,6,10,10,thinet
16,9,4,10,10,thinet
16,69,9,10,10,thinet
18,74,8,10,10,thinet
18,100,1,10,10,thinet
19,81,7,10,10,thinet
20,108,1,10,10,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 11).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,48,1,10,11,thinet
0,70,6,10,11,thinet
0,76,6,10,11,thinet
0,103,1,10,11,thinet
1,9,8,10,11,thinet
1,46,1,10,11,thinet
1,66,1,10,11,thinet
5,48,1,10,11,thinet
6,8,5,10,11,thinet
6,53,2,10,11,thinet
7,9,3,10,11,thinet
7,97,1,10,11,thinet
13,0,1,10,11,thinet
13,36,1,10,11,thinet
24,11,1,10,11,thinet
24,37,1,10,11,thinet
26,32,1,10,11,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 12).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
2,39,1,10,12,RandomStructured
3,118,1,10,12,RandomStructured
3,128,1,10,12,RandomStructured
4,17,7,10,12,RandomStructured
4,28,1,10,12,RandomStructured
4,130,1,10,12,RandomStructured
5,73,9,10,12,RandomStructured
5,80,1,10,12,RandomStructured
5,131,1,10,12,RandomStructured
6,68,1,10,12,RandomStructured
6,104,9,10,12,RandomStructured
6,113,1,10,12,RandomStructured
8,21,1,10,12,RandomStructured
8,107,1,10,12,RandomStructured
8,132,9,10,12,RandomStructured
9,5,1,10,12,RandomStructured
10,32,9,10,12,RandomStructured
10,42,1,10,12,RandomStructured
10,89,1,10,12,RandomStructured
11,124,9,10,12,RandomStructured
11,159,1,10,12,RandomStructured
12,72,9,10,12,RandomStructured
12,96,1,10,12,RandomStructured
13,98,1,10,12,RandomStructured
13,113,1,10,12,RandomStructured
14,34,1,10,12,RandomStructured
14,72,1,10,12,RandomStructured
14,171,9,10,12,RandomStructured
14,182,8,10,12,RandomStructured
15,40,1,10,12,RandomStructured
15,118,9,10,12,RandomStructured
16,37,2,10,12,RandomStructured
16,118,1,10,12,RandomStructured
17,151,1,10,12,RandomStructured
18,40,9,10,12,RandomStructured
18,168,1,10,12,RandomStructured
19,149,8,10,12,RandomStructured
20,44,8,10,12,RandomStructured
20,124,6,10,12,RandomStructured
21,161,4,10,12,RandomStructured
22,15,1,10,12,RandomStructured
22,48,2,10,12,RandomStructured
22,173,7,10,12,RandomStructured
23,38,6,10,12,RandomStructured
23,167,1,10,12,RandomStructured
24,135,5,10,12,RandomStructured
24,196,2,10,12,RandomStructured
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 13).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
1,19,1,10,13,RandomStructured
1,109,2,10,13,RandomStructured
1,134,5,10,13,RandomStructured
1,173,2,10,13,RandomStructured
2,107,2,10,13,RandomStructured
2,142,1,10,13,RandomStructured
2,149,1,10,13,RandomStructured
2,166,1,10,13,RandomStructured
2,167,2,10,13,RandomStructured
3,38,3,10,13,RandomStructured
3,70,1,10,13,RandomStructured
3,88,2,10,13,RandomStructured
3,97,3,10,13,RandomStructured
3,114,1,10,13,RandomStructured
3,143,3,10,13,RandomStructured
4,27,2,10,13,RandomStructured
4,47,1,10,13,RandomStructured
4,66,3,10,13,RandomStructured
4,117,1,10,13,RandomStructured
4,134,2,10,13,RandomStructured
4,139,2,10,13,RandomStructured
5,69,3,10,13,RandomStructured
5,136,3,10,13,RandomStructured
5,162,1,10,13,RandomStructured
6,10,3,10,13,RandomStructured
6,43,3,10,13,RandomStructured
7,144,7,10,13,RandomStructured
8,53,7,10,13,RandomStructured
9,155,10,10,13,RandomStructured
10,175,10,10,13,RandomStructured
10,178,10,10,13,RandomStructured
11,20,10,10,13,RandomStructured
11,123,10,10,13,RandomStructured
12,64,10,10,13,RandomStructured
13,17,10,10,13,RandomStructured
13,18,10,10,13,RandomStructured
14,99,10,10,13,RandomStructured
14,171,10,10,13,RandomStructured
15,99,10,10,13,RandomStructured
16,8,10,10,13,RandomStructured
16,189,10,10,13,RandomStructured
17,52,10,10,13,RandomStructured
17,98,10,10,13,RandomStructured
18,180,7,10,13,RandomStructured
18,191,10,10,13,RandomStructured
19,36,10,10,13,RandomStructured
20,10,5,10,13,RandomStructured
20,182,3,10,13,RandomStructured
21,117,2,10,13,RandomStructured
21,120,2,10,13,RandomStructured
21,123,5,10,13,RandomStructured
21,154,1,10,13,RandomStructured
21,185,1,10,13,RandomStructured
22,8,4,10,13,RandomStructured
22,80,1,10,13,RandomStructured
22,115,2,10,13,RandomStructured
22,117,6,10,13,RandomStructured
22,132,2,10,13,RandomStructured
22,185,1,10,13,RandomStructured
23,14,2,10,13,RandomStructured
23,59,2,10,13,RandomStructured
23,97,1,10,13,RandomStructured
23,122,1,10,13,RandomStructured
24,6,1,10,13,RandomStructured
24,115,1,10,13,RandomStructured
25,99,1,10,13,RandomStructured
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 14).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,14,4,10,14,RandomStructured
0,90,1,10,14,RandomStructured
0,112,4,10,14,RandomStructured
0,173,1,10,14,RandomStructured
1,13,1,10,14,RandomStructured
1,15,1,10,14,RandomStructured
1,110,2,10,14,RandomStructured
1,120,8,10,14,RandomStructured
2,74,2,10,14,RandomStructured
2,76,1,10,14,RandomStructured
2,86,5,10,14,RandomStructured
2,88,3,10,14,RandomStructured
2,163,4,10,14,RandomStructured
2,166,1,10,14,RandomStructured
2,170,2,10,14,RandomStructured
3,28,1,10,14,RandomStructured
3,111,3,10,14,RandomStructured
3,131,5,10,14,RandomStructured
3,144,3,10,14,RandomStructured
3,161,1,10,14,RandomStructured
6,97,10,10,14,RandomStructured
7,98,8,10,14,RandomStructured
7,100,3,10,14,RandomStructured
9,40,10,10,14,RandomStructured
9,102,10,10,14,RandomStructured
10,7,10,10,14,RandomStructured
11,76,10,10,14,RandomStructured
11,168,10,10,14,RandomStructured
12,185,10,10,14,RandomStructured
13,45,10,10,14,RandomStructured
13,137,10,10,14,RandomStructured
14,150,10,10,14,RandomStructured
15,25,1,10,14,RandomStructured
15,97,9,10,14,RandomStructured
15,113,10,10,14,RandomStructured
16,118,10,10,14,RandomStructured
17,83,9,10,14,RandomStructured
18,188,3,10,14,RandomStructured
19,85,3,10,14,RandomStructured
19,159,6,10,14,RandomStructured
20,120,6,10,14,RandomStructured
20,126,3,10,14,RandomStructured
21,134,3,10,14,RandomStructured
22,68,3,10,14,RandomStructured
22,75,2,10,14,RandomStructured
22,79,4,10,14,RandomStructured
23,86,3,10,14,RandomStructured
24,5,1,10,14,RandomStructured
24,6,1,10,14,RandomStructured
24,39,3,10,14,RandomStructured
25,46,1,10,14,RandomStructured
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 15).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,45,9,10,15,Recreation_Run
0,57,1,10,15,Recreation_Run
0,67,8,10,15,Recreation_Run
0,93,1,10,15,Recreation_Run
1,16,9,10,15,Recreation_Run
1,78,9,10,15,Recreation_Run
1,88,1,10,15,Recreation_Run
2,10,3,10,15,Recreation_Run
2,24,8,10,15,Recreation_Run
2,42,2,10,15,Recreation_Run
3,4,4,10,15,Recreation_Run
3,6,1,10,15,Recreation_Run
3,8,1,10,15,Recreation_Run
3,11,4,10,15,Recreation_Run
3,17,1,10,15,Recreation_Run
3,40,2,10,15,Recreation_Run
3,41,1,10,15,Recreation_Run
3,76,3,10,15,Recreation_Run
4,21,2,10,15,Recreation_Run
4,63,1,10,15,Recreation_Run
4,73,4,10,15,Recreation_Run
4,83,5,10,15,Recreation_Run
5,36,1,10,15,Recreation_Run
5,47,1,10,15,Recreation_Run
5,56,2,10,15,Recreation_Run
5,75,4,10,15,Recreation_Run
5,78,1,10,15,Recreation_Run
5,93,5,10,15,Recreation_Run
5,100,1,10,15,Recreation_Run
6,7,3,10,15,Recreation_Run
6,16,4,10,15,Recreation_Run
6,18,1,10,15,Recreation_Run
6,23,1,10,15,Recreation_Run
6,77,1,10,15,Recreation_Run
6,85,6,10,15,Recreation_Run
6,92,1,10,15,Recreation_Run
7,13,2,10,15,Recreation_Run
7,47,6,10,15,Recreation_Run
7,61,5,10,15,Recreation_Run
7,67,1,10,15,Recreation_Run
7,71,3,10,15,Recreation_Run
7,91,2,10,15,Recreation_Run
8,24,6,10,15,Recreation_Run
8,37,1,10,15,Recreation_Run
8,49,1,10,15,Recreation_Run
8,83,1,10,15,Recreation_Run
8,98,6,10,15,Recreation_Run
9,22,1,10,15,Recreation_Run
9,25,1,10,15,Recreation_Run
9,38,1,10,15,Recreation_Run
9,64,6,10,15,Recreation_Run
9,68,5,10,15,Recreation_Run
9,78,2,10,15,Recreation_Run
9,84,1,10,15,Recreation_Run
9,99,1,10,15,Recreation_Run
10,21,2,10,15,Recreation_Run
10,35,6,10,15,Recreation_Run
10,36,1,10,15,Recreation_Run
10,37,1,10,15,Recreation_Run
10,51,6,10,15,Recreation_Run
10,91,2,10,15,Recreation_Run
10,93,2,10,15,Recreation_Run
11,6,6,10,15,Recreation_Run
11,35,6,10,15,Recreation_Run
11,41,2,10,15,Recreation_Run
11,99,2,10,15,Recreation_Run
12,3,1,10,15,Recreation_Run
12,11,2,10,15,Recreation_Run
12,12,4,10,15,Recreation_Run
12,22,2,10,15,Recreation_Run
12,35,2,10,15,Recreation_Run
12,65,5,10,15,Recreation_Run
12,70,1,10,15,Recreation_Run
12,82,2,10,15,Recreation_Run
13,26,1,10,15,Recreation_Run
13,40,6,10,15,Recreation_Run
13,44,2,10,15,Recreation_Run
13,55,2,10,15,Recreation_Run
13,56,2,10,15,Recreation_Run
13,74,1,10,15,Recreation_Run
13,96,5,10,15,Recreation_Run
13,102,1,10,15,Recreation_Run
14,1,5,10,15,Recreation_Run
14,11,2,10,15,Recreation_Run
14,43,2,10,15,Recreation_Run
14,47,4,10,15,Recreation_Run
14,57,1,10,15,Recreation_Run
14,73,2,10,15,Recreation_Run
14,91,2,10,15,Recreation_Run
15,4,2,10,15,Recreation_Run
15,16,6,10,15,Recreation_Run
15,28,2,10,15,Recreation_Run
15,44,6,10,15,Recreation_Run
15,94,2,10,15,Recreation_Run
16,0,4,10,15,Recreation_Run
16,46,1,10,15,Recreation_Run
16,64,2,10,15,Recreation_Run
16,70,2,10,15,Recreation_Run
16,79,2,10,15,Recreation_Run
16,104,1,10,15,Recreation_Run
17,2,2,10,15,Recreation_Run
17,8,2,10,15,Recreation_Run
17,25,1,10,15,Recreation_Run
17,48,2,10,15,Recreation_Run
17,95,1,10,15,Recreation_Run
17,103,4,10,15,Recreation_Run
17,105,5,10,15,Recreation_Run
18,32,1,10,15,Recreation_Run
18,54,2,10,15,Recreation_Run
18,56,2,10,15,Recreation_Run
18,64,3,10,15,Recreation_Run
18,66,3,10,15,Recreation_Run
18,78,4,10,15,Recreation_Run
19,8,2,10,15,Recreation_Run
19,9,1,10,15,Recreation_Run
19,51,5,10,15,Recreation_Run
19,65,3,10,15,Recreation_Run
19,70,3,10,15,Recreation_Run
19,71,1,10,15,Recreation_Run
19,74,1,10,15,Recreation_Run
19,81,3,10,15,Recreation_Run
20,1,2,10,15,Recreation_Run
20,24,1,10,15,Recreation_Run
20,46,2,10,15,Recreation_Run
20,74,3,10,15,Recreation_Run
20,93,2,10,15,Recreation_Run
20,97,5,10,15,Recreation_Run
20,102,2,10,15,Recreation_Run
20,109,2,10,15,Recreation_Run
21,11,1,10,15,Recreation_Run
21,12,5,10,15,Recreation_Run
21,15,1,10,15,Recreation_Run
21,20,5,10,15,Recreation_Run
21,27,3,10,15,Recreation_Run
21,47,2,10,15,Recreation_Run
21,74,2,10,15,Recreation_Run
22,11,4,10,15,Recreation_Run
22,16,3,10,15,Recreation_Run
22,38,3,10,15,Recreation_Run
22,58,1,10,15,Recreation_Run
22,82,2,10,15,Recreation_Run
22,89,2,10,15,Recreation_Run
23,2,1,10,15,Recreation_Run
23,31,1,10,15,Recreation_Run
23,36,1,10,15,Recreation_Run
23,38,2,10,15,Recreation_Run
23,54,1,10,15,Recreation_Run
23,58,1,10,15,Recreation_Run
23,89,1,10,15,Recreation_Run
23,106,1,10,15,Recreation_Run
24,29,1,10,15,Recreation_Run
24,37,1,10,15,Recreation_Run
24,110,1,10,15,Recreation_Run
25,27,1,10,15,Recreation_Run
25,41,1,10,15,Recreation_Run
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 16).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,52,1,10,16,Recreation_Run
0,91,1,10,16,Recreation_Run
1,70,1,10,16,Recreation_Run
1,89,1,10,16,Recreation_Run
1,96,2,10,16,Recreation_Run
2,41,1,10,16,Recreation_Run
2,42,1,10,16,Recreation_Run
2,58,1,10,16,Recreation_Run
2,67,1,10,16,Recreation_Run
3,62,1,10,16,Recreation_Run
3,73,1,10,16,Recreation_Run
4,45,1,10,16,Recreation_Run
4,100,6,10,16,Recreation_Run
5,21,2,10,16,Recreation_Run
5,22,1,10,16,Recreation_Run
5,27,1,10,16,Recreation_Run
5,28,8,10,16,Recreation_Run
6,11,2,10,16,Recreation_Run
6,23,7,10,16,Recreation_Run
6,98,9,10,16,Recreation_Run
7,33,10,10,16,Recreation_Run
7,98,10,10,16,Recreation_Run
8,55,1,10,16,Recreation_Run
8,69,9,10,16,Recreation_Run
8,95,10,10,16,Recreation_Run
