"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
23,86,2,8,14,RandomStructured
24,5,1,8,14,RandomStructured
24,6,1,8,14,RandomStructured
24,39,2,8,14,RandomStructured
25,46,1,8,14,RandomStructured
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 15).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,45,6,7,15,Recreation_Run
0,57,1,7,15,Recreation_Run
0,67,6,7,15,Recreation_Run
0,93,1,7,15,Recreation_Run
1,16,6,7,15,Recreation_Run
1,78,6,7,15,Recreation_Run
1,88,1,7,15,Recreation_Run
2,10,1,7,15,Recreation_Run
2,24,5,7,15,Recreation_Run
2,42,1,7,15,Recreation_Run
3,4,4,7,15,Recreation_Run
3,8,1,7,15,Recreation_Run
3,11,2,7,15,Recreation_Run
3,40,2,7,15,Recreation_Run
3,76,2,7,15,Recreation_Run
4,73,4,7,15,Recreation_Run
4,83,3,7,15,Recreation_Run
5,47,1,7,15,Recreation_Run
5,56,2,7,15,Recreation_Run
5,75,2,7,15,Recreation_Run
5,78,1,7,15,Recreation_Run
5,93,3,7,15,Recreation_Run
6,7,3,7,15,Recreation_Run
6,16,3,7,15,Recreation_Run
6,85,4,7,15,Recreation_Run
6,92,1,7,15,Recreation_Run
7,13,2,7,15,Recreation_Run
7,47,4,7,15,Recreation_Run
7,61,3,7,15,Recreation_Run
7,71,3,7,15,Recreation_Run
7,91,2,7,15,Recreation_Run
8,24,4,7,15,Recreation_Run
8,49,1,7,15,Recreation_Run
8,98,4,7,15,Recreation_Run
9,22,1,7,15,Recreation_Run
9,38,1,7,15,Recreation_Run
9,64,4,7,15,Recreation_Run
9,68,3,7,15,Recreation_Run
9,78,2,7,15,Recreation_Run
9,99,1,7,15,Recreation_Run
10,21,1,7,15,Recreation_Run
10,35,4,7,15,Recreation_Run
10,37,1,7,15,Recreation_Run
10,51,4,7,15,Recreation_Run
10,91,2,7,15,Recreation_Run
10,93,2,7,15,Recreation_Run
11,6,4,7,15,Recreation_Run
11,35,4,7,15,Recreation_Run
11,41,1,7,15,Recreation_Run
11,99,1,7,15,Recreation_Run
12,3,1,7,15,Recreation_Run
12,11,2,7,15,Recreation_Run
12,12,2,7,15,Recreation_Run
12,22,2,7,15,Recreation_Run
